x,y,z,id
-1.34722,0.177075,0.700921,1
-1.34722,0.177075,-0.70092,1
-1.34616,1.4712,-1.34616,1
-1.34616,1.4712,1.34616,1
-1.34332,0.553725,-1.34332,1
-1.34332,0.553725,1.34332,1
-1.33476,2.4,-0.69444,1
-1.33476,0.15,-0.69444,1
-1.33476,0.15,0.69444,1
-1.33476,0.15,0.69444,1
-1.33476,2.4,0.69444,1
-1.33476,0.15,-0.69444,1
-1.33369,2.0856,-0.97878,1
-1.33369,2.0856,0.97878,1
-1.33263,2.498438,-0.44765,1
-1.33263,2.498438,0.447653,1
-1.33162,0.127575,0.692808,1
-1.33162,0.127575,-0.6928,1
-1.32966,2.4,-0.44665,1
-1.32966,2.4,0.446656,1
-1.32036,2.4945,-0.44352,1
-1.32036,2.4945,0.443529,1
-1.31768,0.1056,-0.68555,1
-1.31768,0.1056,0.685551,1
-1.31725,2.435437,-0.68533,1
-1.31725,2.435437,0.685331,1
-1.3163,2.435437,-0.44216,1
-1.3163,2.435437,0.442166,1
-1.31295,0.0648,0.441041,1
-1.31295,0.0648,-0.44104,1
-1.31278,2.482687,-0.44098,1
-1.31278,2.482687,0.440985,1
-1.31105,2.463,-0.4404,1
-1.31105,2.463,0.440403,1
-1.30906,1.621875,-1.30906,1
-1.30906,1.621875,1.309063,1
-1.30132,0.260025,0.955023,1
-1.30132,0.260025,-0.95502,1
-1.3,2.4,0,1
-1.3,2.4,0,1
-1.29881,2.463,-0.67573,1
-1.29881,2.463,0.675736,1
-1.29504,0.4632,-1.29504,1
-1.29504,0.4632,1.29504,1
-1.28611,0.084525,-0.66912,1
-1.28611,0.084525,0.669128,1
-1.28438,0.046875,0,1
-1.28438,0.046875,0,1
-1.28326,2.4,-0.2133,1
-1.28326,2.4,0.213304,1
-1.2805,2.482687,-0.66621,1
-1.2805,2.482687,0.666211,1
-1.2746,2.4408,0,1
-1.2746,2.4408,0,1
-1.27441,2.242575,-0.93527,1
-1.27441,2.242575,0.935276,1
-1.26783,0.046875,-0.21074,1
-1.26783,0.046875,0.21074,1
-1.26664,1.7748,-1.26664,1
-1.26664,1.7748,1.26664,1
-1.2634,2.4945,-0.65731,1
-1.2634,2.4945,0.657311,1
-1.25818,2.4408,0.209136,1
-1.25818,2.4408,-0.20913,1
-1.256,0.2136,0.921764,1
-1.256,0.2136,-0.92176,1
-1.24856,2.498438,-0.64959,1
-1.24856,2.498438,0.649591,1
-1.24578,2.4,-0.64814,1
-1.24578,2.4,0.648144,1
-1.2425,0.384375,-1.2425,1
-1.2425,0.384375,1.2425,1
-1.23706,2.4945,-0.6436,1
-1.23706,2.4945,0.643607,1
-1.23469,2.4,-0.41475,1
-1.23469,2.4,0.414752,1
-1.23325,2.435437,-0.64162,1
-1.23325,2.435437,0.641628,1
-1.23012,0.0648,-0.63999,1
-1.23012,0.0648,0.639996,1
-1.22996,2.482687,-0.63991,1
-1.22996,2.482687,0.639915,1
-1.22834,2.463,-0.63907,1
-1.22834,2.463,0.63907,1
